sample_name	reads	n_scaled_reads	input_name	n_input_reads	factor	scaling_group
H2Aub_H9_Pr-EZH2i_rep1.hg38	1955164	10338674.188005123	IN_H9_Pr-EZH2i_rep1.hg38	529691	5.287880805909439	H2Aub_Naive
H2Aub_H9_Pr-EZH2i_rep2.hg38	1869959	11195048.737240711	IN_H9_Pr-EZH2i_rep2.hg38	467854	5.986788339873073	H2Aub_Naive
H2Aub_H9_Pr-EZH2i_rep3.hg38	1890223	11959193.320782809	IN_H9_Pr-EZH2i_rep3.hg38	442706	6.326869010049506	H2Aub_Naive
H3_H9_Ni_pooled.hg38	22130763	20639857.253333334	IN_H9_Ni_pooled.hg38	3626996	0.9326319771863868	H3_Naive
H3_H9_Ni_rep1.hg38	7937199	21357665.71972131	IN_H9_Ni_rep1.hg38	1257103	2.6908315792159563	H3_Naive
H3_H9_Ni_rep2.hg38	5243593	22923810.73949859	IN_H9_Ni_rep2.hg38	773748	4.371775372249255	H3_Naive
H3_H9_Ni_rep3.hg38	8950648	18968535.47362603	IN_H9_Ni_rep3.hg38	1596166	2.1192360009717763	H3_Naive
H3_H9_Ni-EZH2i_pooled.hg38	8212304	12439300.057100324	IN_H9_Ni-EZH2i_pooled.hg38	2233194	1.5147150004554537	H3_Naive
H3_H9_Ni-EZH2i_rep1.hg38	3125405	12002360.113942126	IN_H9_Ni-EZH2i_rep1.hg38	880840	3.840257539084415	H3_Naive
H3_H9_Ni-EZH2i_rep2.hg38	1310267	13300976.16200871	IN_H9_Ni-EZH2i_rep2.hg38	333222	10.151347902380744	H3_Naive
H3_H9_Ni-EZH2i_rep3.hg38	3776749	12535499.794563245	IN_H9_Ni-EZH2i_rep3.hg38	1019140	3.319124409528736	H3_Naive
H3_H9_Pr_pooled.hg38	19889240	10200172.022734405	IN_H9_Pr_pooled.hg38	6595809	0.5128487575560657	H3_Naive
H3_H9_Pr_rep1.hg38	5243878	9079136.037973443	IN_H9_Pr_rep1.hg38	1953734	1.7313781971993711	H3_Naive
H3_H9_Pr_rep2.hg38	8222110	11219248.932291273	IN_H9_Pr_rep2.hg38	2479002	1.3645218724015213	H3_Naive
H3_H9_Pr_rep3.hg38	6424348	10046083.635101274	IN_H9_Pr_rep3.hg38	2163165	1.5637514709821563	H3_Naive
H3_H9_Pr-EZH2i_pooled.hg38	3865863	9079602.978603866	IN_H9_Pr-EZH2i_pooled.hg38	1440247	2.3486613412332167	H3_Naive
H3_H9_Pr-EZH2i_rep1.hg38	1338404	8547163.479581445	IN_H9_Pr-EZH2i_rep1.hg38	529691	6.3860863233982	H3_Naive
H3_H9_Pr-EZH2i_rep2.hg38	1449594	10480775.405702043	IN_H9_Pr-EZH2i_rep2.hg38	467854	7.230145410164531	H3_Naive
H3_H9_Pr-EZH2i_rep3.hg38	1077919	8236223.017161101	IN_H9_Pr-EZH2i_rep3.hg38	442706	7.640855219326407	H3_Naive
